sample_id,tool,project,target_api,候选序列1,候选序列2,候选序列3,label
C021,gpt-4o-mini CADS,gin-vue-admin,POST /fileUploadAndDownload/findFile,POST /fileUploadAndDownload/upload -> POST /fileUploadAndDownload/findFile,,,1
C022,gpt-4o-mini CADS,gin-vue-admin,PUT /sysExportTemplate/updateSysExportTemplate,POST /authority/createAuthority -> POST /authority/getAuthorityList -> POST /api/createApi -> POST /api/getApiList -> POST /autoCode/addFunc -> POST /autoCode/createPackage -> POST /autoCode/createTemp -> POST /autoCode/initAPI -> POST /autoCode/initMenu -> POST /autoCode/installPlugin -> POST /autoCode/mcp -> POST /autoCode/preview -> POST /autoCode/pubPlug -> POST /autoCode/getSysHistory -> POST /fileUploadAndDownload/breakpointContinue -> POST /fileUploadAndDownload/importURL -> POST /fileUploadAndDownload/upload -> POST /fileUploadAndDownload/getFileList -> POST /info/createInfo -> GET /info/getInfoList -> POST /menu/addBaseMenu -> POST /menu/addMenuAuthority -> POST /menu/getMenuList -> POST /sysDictionaryDetail/createSysDictionaryDetail -> GET /sysDictionaryDetail/getSysDictionaryDetailList -> POST /sysParams/createSysParams -> GET /sysParams/getSysParamsList -> POST /sysVersion/exportVersion -> POST /sysVersion/importVersion -> GET /sysVersion/getSysVersionList -> POST /user/admin_register -> POST /user/getUserList -> POST /base/login -> POST /api/getAllApis -> POST /base/captcha -> POST /init/initdb -> POST /jwt/jsonInBlacklist -> GET /info/getInfoPublic -> POST /menu/getMenu -> POST /menu/getBaseMenuTree -> POST /sysDictionary/createSysDictionary -> POST /sysExportTemplate/createSysExportTemplate -> PUT /sysExportTemplate/updateSysExportTemplate,POST /authority/createAuthority -> POST /authority/getAuthorityList -> POST /api/createApi -> POST /api/getApiList -> POST /autoCode/addFunc -> POST /autoCode/createPackage -> POST /autoCode/createTemp -> POST /autoCode/initAPI -> POST /autoCode/initMenu -> POST /autoCode/installPlugin -> POST /autoCode/mcp -> POST /autoCode/preview -> POST /autoCode/pubPlug -> POST /autoCode/getSysHistory -> POST /fileUploadAndDownload/breakpointContinue -> POST /fileUploadAndDownload/importURL -> POST /fileUploadAndDownload/upload -> POST /fileUploadAndDownload/getFileList -> POST /info/createInfo -> GET /info/getInfoList -> POST /menu/addBaseMenu -> POST /menu/addMenuAuthority -> POST /menu/getMenuList -> POST /sysDictionaryDetail/createSysDictionaryDetail -> GET /sysDictionaryDetail/getSysDictionaryDetailList -> POST /sysParams/createSysParams -> GET /sysParams/getSysParamsList -> POST /sysVersion/exportVersion -> POST /sysVersion/importVersion -> GET /sysVersion/getSysVersionList -> POST /user/admin_register -> POST /user/getUserList -> POST /base/login -> POST /api/getAllApis -> POST /base/captcha -> POST /init/initdb -> POST /jwt/jsonInBlacklist -> GET /info/getInfoPublic -> POST /menu/getMenu -> POST /menu/getBaseMenuTree -> POST /attachmentCategory/addCategory -> POST /sysDictionary/createSysDictionary -> POST /sysExportTemplate/createSysExportTemplate -> PUT /sysExportTemplate/updateSysExportTemplate,,1
C023,gpt-4o-mini CADS,gin-vue-blog,GET /category/option,POST /register -> POST /login -> POST /report -> POST /upload/file -> POST /category -> POST /link -> POST /tag -> GET /category/option,,,1
C024,gpt-4o-mini CADS,gin-vue-blog,GET /page/list,POST /login -> POST /category -> GET /category/list -> POST /link -> GET /link/list -> POST /tag -> GET /tag/list -> POST /page -> GET /page/list -> GET /role/list,,,0
C025,gpt-4o-mini CADS,gin-vue-blog,GET /role/option,POST /register -> POST /login -> POST /report -> POST /upload/file -> POST /category -> POST /link -> POST /tag -> GET /role/option,,,0
C026,gpt-4o-mini CADS,gin-vue-blog,GET /tag/option,POST /register -> POST /login -> POST /report -> POST /upload/file -> POST /category -> POST /link -> POST /tag -> GET /tag/option,,,1
C027,gpt-4o-mini CADS,mall,GET /member/coupon/listByProduct/{productId},POST /order/generateConfirmOrder -> GET /order/list -> POST /returnApply/create -> GET /member/coupon/list/cart/{type} -> POST /order/generateOrder -> POST /member/attention/add -> GET /member/attention/list -> POST /member/productCollection/add -> GET /member/productCollection/list -> POST /member/readHistory/create -> GET /member/readHistory/list -> POST /member/coupon/add/{couponId} -> GET /member/coupon/list -> GET /home/hotProductList -> GET /home/newProductList -> GET /home/recommendProductList -> GET /home/subjectList -> GET /cart/list -> GET /cart/list/promotion -> POST /cart/add -> GET /member/coupon/listByProduct/{productId},POST /order/generateConfirmOrder -> GET /order/list -> POST /returnApply/create -> GET /member/coupon/list/cart/{type} -> POST /order/generateOrder -> POST /member/attention/add -> GET /member/attention/list -> POST /member/productCollection/add -> GET /member/productCollection/list -> POST /member/readHistory/create -> GET /member/readHistory/list -> POST /member/coupon/add/{couponId} -> GET /member/coupon/list -> POST /cart/add -> GET /home/hotProductList -> GET /home/newProductList -> GET /home/recommendProductList -> GET /home/subjectList -> GET /cart/list -> GET /cart/list/promotion -> GET /member/coupon/listByProduct/{productId},,0
C028,gpt-4o-mini CADS,mall,GET /sso/getAuthCode,POST /sso/register -> GET /sso/getAuthCode,,,1
C029,gpt-4o-mini CADS,mall,POST /order/cancelUserOrder,POST /order/generateConfirmOrder -> GET /order/list -> POST /returnApply/create -> GET /member/coupon/list/cart/{type} -> POST /order/generateOrder -> POST /member/coupon/add/{couponId} -> GET /member/coupon/list -> POST /member/attention/add -> GET /member/attention/list -> POST /member/productCollection/add -> GET /member/productCollection/list -> POST /member/readHistory/create -> GET /member/readHistory/list -> POST /order/cancelUserOrder,POST /order/generateConfirmOrder -> GET /order/list -> POST /returnApply/create -> GET /member/coupon/list/cart/{type} -> POST /order/generateConfirmOrder -> POST /order/generateOrder -> GET /order/list -> POST /member/attention/add -> GET /member/attention/list -> POST /member/productCollection/add -> GET /member/productCollection/list -> POST /member/readHistory/create -> GET /member/readHistory/list -> POST /member/coupon/add/{couponId} -> GET /member/coupon/list -> POST /order/cancelUserOrder,,1
C030,gpt-4o-mini CADS,mall,POST /sso/login,POST /sso/register -> POST /sso/login,,,1
C031,gpt-4o-mini CADS,mall-swarm,GET /home/productCateList/{parentId},POST /returnApply/create -> GET /member/coupon/list/cart/{type} -> POST /order/generateOrder -> GET /order/list -> POST /member/coupon/add/{couponId} -> GET /member/coupon/list -> POST /member/readHistory/create -> GET /member/readHistory/list -> POST /member/productCollection/add -> GET /member/productCollection/list -> POST /member/attention/add -> GET /member/attention/list -> GET /home/productCateList/{parentId},,,1
C032,gpt-4o-mini CADS,mall-swarm,GET /member/coupon/listHistory,POST /returnApply/create -> GET /member/coupon/list/cart/{type} -> POST /order/generateOrder -> GET /order/list -> POST /member/readHistory/create -> GET /member/readHistory/list -> POST /member/productCollection/add -> GET /member/productCollection/list -> POST /member/attention/add -> GET /member/attention/list -> POST /member/coupon/add/{couponId} -> GET /member/coupon/list -> GET /member/coupon/listHistory,,,1
C033,gpt-4o-mini CADS,mall-swarm,POST /member/attention/delete,POST /returnApply/create -> GET /member/coupon/list/cart/{type} -> POST /order/generateOrder -> GET /order/list -> POST /member/coupon/add/{couponId} -> GET /member/coupon/list -> POST /member/readHistory/create -> GET /member/readHistory/list -> POST /member/productCollection/add -> GET /member/productCollection/list -> POST /member/attention/add -> GET /member/attention/list -> GET /product/search -> GET /home/recommendProductList -> GET /home/newProductList -> GET /home/hotProductList -> GET /brand/recommendList -> GET /brand/productList -> POST /member/attention/delete,,,1
C034,gpt-4o-mini CADS,mall-swarm,POST /sso/login,POST /sso/register -> POST /sso/login,,,1
C035,gpt-4o-mini CADS,newbee-mall-plus,GET /api/v1/returnOrders/{orderNo}/{userId},POST /api/v1/seckill/orders/{seckillSuccessId}/{userId}/{seckillSecretKey} -> GET /api/v1/returnOrders/{orderNo}/{userId},POST /api/v1/seckillExecution/{seckillId}/{userId}/{md5} -> GET /api/v1/returnOrders/{orderNo}/{userId},POST /api/v1/seckill/orders/{seckillSuccessId}/{userId}/{seckillSecretKey} -> GET /api/v1/seckill/list -> POST /api/v1/seckillExecution/{seckillId}/{userId}/{md5} -> POST /api/v1/register -> GET /api/v1/search -> GET /api/v1/index -> POST /api/v1/shop-cart -> GET /api/v1/returnOrders/{orderNo}/{userId},1
C036,gpt-4o-mini CADS,newbee-mall-plus,POST /api/v1/login,POST /api/v1/register -> POST /api/v1/login,,,1
C037,gpt-4o-mini CADS,newbee-mall-plus,POST /api/v1/seckill/{seckillId}/exposer,POST /api/v1/seckill/orders/{seckillSuccessId}/{userId}/{seckillSecretKey} -> GET /api/v1/seckill/list -> POST /api/v1/seckill/{seckillId}/exposer,POST /api/v1/seckill/orders/{seckillSuccessId}/{userId}/{seckillSecretKey} -> GET /api/v1/seckill/list -> POST /api/v1/seckillExecution/{seckillId}/{userId}/{md5} -> POST /api/v1/seckill/{seckillId}/exposer,,1
C038,gpt-4o-mini CADS,newbee-mall-plus,PUT /api/v1/shop-cart,POST /api/v1/seckill/orders/{seckillSuccessId}/{userId}/{seckillSecretKey} -> GET /api/v1/seckill/list -> POST /api/v1/seckillExecution/{seckillId}/{userId}/{md5} -> POST /api/v1/register -> GET /api/v1/search -> GET /api/v1/index -> POST /api/v1/shop-cart -> PUT /api/v1/shop-cart,,,1
C039,gpt-4o-mini CADS,newbee_mall,GET /api/v1/paySuccess,POST /api/v1/saveOrder -> POST /api/v1/address -> GET /api/v1/order -> GET /api/v1/search -> GET /api/v1/index-infos -> POST /api/v1/saveOrder -> POST /api/v1/shop-cart -> POST /api/v1/address -> GET /api/v1/order -> GET /api/v1/paySuccess,POST /api/v1/saveOrder -> POST /api/v1/address -> GET /api/v1/order -> POST /api/v1/shop-cart -> GET /api/v1/search -> GET /api/v1/index-infos -> GET /api/v1/search -> GET /api/v1/index-infos -> POST /manage-api/v1/carousels -> POST /manage-api/v1/categories -> POST /manage-api/v1/goods -> POST /manage-api/v1/indexConfigs -> GET /api/v1/paySuccess,,1
C040,gpt-4o-mini CADS,newbee_mall,PUT /api/v1/order/{orderNo}/cancel,POST /api/v1/saveOrder -> POST /api/v1/address -> GET /api/v1/order -> GET /api/v1/search -> GET /api/v1/index-infos -> POST /api/v1/saveOrder -> POST /api/v1/shop-cart -> POST /api/v1/address -> GET /api/v1/order -> PUT /api/v1/order/{orderNo}/cancel,POST /api/v1/saveOrder -> POST /api/v1/address -> GET /api/v1/order -> POST /api/v1/shop-cart -> GET /api/v1/search -> GET /api/v1/index-infos -> GET /api/v1/search -> GET /api/v1/index-infos -> POST /manage-api/v1/carousels -> POST /manage-api/v1/categories -> POST /manage-api/v1/goods -> POST /manage-api/v1/indexConfigs -> PUT /api/v1/order/{orderNo}/cancel,,1
C041,gpt-4o-mini CADS,newbee_mall,PUT /api/v1/shop-cart,POST /api/v1/saveOrder -> POST /api/v1/address -> GET /api/v1/order -> GET /api/v1/search -> GET /api/v1/index-infos -> POST /api/v1/shop-cart -> GET /api/v1/shop-cart/page -> PUT /api/v1/shop-cart,,,1
C042,gpt-4o-mini CADS,openemr,GET /apis/default/api/patient/{pid}/encounter/{eid}/soap_note/{sid},POST /apis/default/api/patient/{puuid}/allergy -> POST /apis/default/api/patient/{puuid}/encounter -> POST /apis/default/api/patient/{puuid}/insurance -> POST /apis/default/api/patient/{puuid}/medical_problem -> POST /apis/default/api/facility -> POST /apis/default/api/insurance_company -> POST /apis/default/api/facility -> POST /apis/default/api/insurance_company -> POST /apis/default/api/practitioner -> GET /apis/default/api/list/{list_name} -> POST /apis/default/fhir/Patient -> POST /apis/default/fhir/Organization -> POST /apis/default/fhir/Practitioner -> POST /apis/default/api/patient -> POST /apis/default/api/patient/{pid}/appointment -> POST /apis/default/api/patient/{pid}/dental_issue -> POST /apis/default/api/patient/{pid}/document -> POST /apis/default/api/patient/{pid}/medication -> POST /apis/default/api/patient/{pid}/message -> POST /apis/default/api/patient/{pid}/surgery -> POST /apis/default/api/patient/{pid}/transaction -> GET /apis/default/api/patient/{pid}/encounter/{eid}/soap_note/{sid},,,1
C043,gpt-4o-mini CADS,openemr,GET /apis/default/api/patient/{pid}/surgery/{sid},POST /apis/default/api/patient/{puuid}/allergy -> POST /apis/default/api/patient/{puuid}/encounter -> POST /apis/default/api/patient/{puuid}/insurance -> POST /apis/default/api/patient/{puuid}/medical_problem -> POST /apis/default/api/facility -> POST /apis/default/api/insurance_company -> POST /apis/default/api/facility -> POST /apis/default/api/insurance_company -> POST /apis/default/api/practitioner -> GET /apis/default/api/list/{list_name} -> POST /apis/default/fhir/Patient -> POST /apis/default/fhir/Organization -> POST /apis/default/fhir/Practitioner -> POST /apis/default/api/patient -> POST /apis/default/api/patient/{pid}/appointment -> POST /apis/default/api/patient/{pid}/dental_issue -> POST /apis/default/api/patient/{pid}/document -> POST /apis/default/api/patient/{pid}/medication -> POST /apis/default/api/patient/{pid}/message -> POST /apis/default/api/patient/{pid}/surgery -> POST /apis/default/api/patient/{pid}/transaction -> GET /apis/default/api/patient/{pid}/surgery/{sid},,,1
C044,gpt-4o-mini CADS,openemr,PUT /apis/default/api/patient/{pid}/encounter/{eid}/vital/{vid},POST /apis/default/api/patient/{puuid}/allergy -> POST /apis/default/api/patient/{puuid}/encounter -> POST /apis/default/api/patient/{puuid}/insurance -> POST /apis/default/api/patient/{puuid}/medical_problem -> POST /apis/default/api/facility -> POST /apis/default/api/insurance_company -> POST /apis/default/api/facility -> POST /apis/default/api/insurance_company -> POST /apis/default/api/practitioner -> GET /apis/default/api/list/{list_name} -> POST /apis/default/fhir/Patient -> POST /apis/default/fhir/Organization -> POST /apis/default/fhir/Practitioner -> POST /apis/default/api/patient -> POST /apis/default/api/patient/{pid}/appointment -> POST /apis/default/api/patient/{pid}/dental_issue -> POST /apis/default/api/patient/{pid}/document -> POST /apis/default/api/patient/{pid}/medication -> POST /apis/default/api/patient/{pid}/message -> POST /apis/default/api/patient/{pid}/surgery -> POST /apis/default/api/patient/{pid}/transaction -> PUT /apis/default/api/patient/{pid}/encounter/{eid}/vital/{vid},,,1
C045,gpt-4o-mini CADS,pybbs,DELETE /api/comment/{id},POST /api/login -> POST /api/register -> POST /api/upload -> POST /api/collect/{topicId} -> GET /api/index -> POST /api/tags -> POST /api/mobile_login -> POST /api/topic -> POST /api/comment -> DELETE /api/comment/{id},POST /api/mobile_login -> POST /api/upload -> POST /api/collect/{topicId} -> GET /api/index -> POST /api/login -> POST /api/register -> POST /api/tags -> POST /api/topic -> POST /api/comment -> DELETE /api/comment/{id},,1
C046,gpt-4o-mini CADS,pybbs,GET /api/user/{username},POST /api/login -> POST /api/register -> POST /api/mobile_login -> POST /api/upload -> POST /api/collect/{topicId} -> GET /api/index -> POST /api/topic -> POST /api/comment -> POST /api/tags -> GET /api/user/{username},POST /api/login -> POST /api/register -> POST /api/mobile_login -> POST /api/upload -> POST /api/collect/{topicId} -> GET /api/index -> POST /api/topic -> POST /api/tags -> POST /api/comment -> GET /api/user/{username},POST /api/login -> POST /api/register -> POST /api/upload -> POST /api/collect/{topicId} -> GET /api/index -> POST /api/tags -> POST /api/mobile_login -> POST /api/topic -> POST /api/comment -> GET /api/user/{username},1
C047,gpt-4o-mini CADS,pybbs,PUT /api/settings,POST /api/login -> POST /api/register -> POST /api/upload -> POST /api/collect/{topicId} -> GET /api/index -> POST /api/tags -> POST /api/mobile_login -> POST /api/topic -> POST /api/comment -> PUT /api/settings,POST /api/mobile_login -> POST /api/upload -> POST /api/collect/{topicId} -> GET /api/index -> POST /api/login -> POST /api/register -> POST /api/tags -> POST /api/topic -> POST /api/comment -> PUT /api/settings,,0
C048,gpt-4o-mini CADS,youlai-mall,GET /mall-pms/api/v1/categories/{id},POST /mall-pms/api/v1/attributes/batch -> GET /mall-pms/api/v1/categories/{id},POST /mall-pms/api/v1/spu -> GET /mall-pms/api/v1/categories/{id},POST /mall-ums/app-api/v1/members -> POST /mall-ums/app-api/v1/members/view/history -> GET /mall-ums/api/v1/members -> POST /mall-ums/app-api/v1/members/view/history -> GET /mall-ums/api/v1/members -> POST /mall-ums/app-api/v1/members -> GET /mall-ums/api/v1/members -> POST /mall-oms/app-api/v1/orders/submit -> GET /mall-oms/app-api/v1/orders -> GET /mall-oms/api/v1/orders -> POST /mall-pms/api/v1/categories -> GET /mall-pms/api/v1/categories/{id},0
C049,gpt-4o-mini CADS,youlai-mall,GET /mall-sms/api/v1/adverts/{id},POST /mall-ums/app-api/v1/members -> POST /mall-ums/app-api/v1/members/view/history -> GET /mall-ums/api/v1/members -> POST /mall-ums/app-api/v1/members/view/history -> GET /mall-ums/api/v1/members -> POST /mall-ums/app-api/v1/members -> GET /mall-ums/api/v1/members -> POST /mall-oms/app-api/v1/orders/submit -> GET /mall-oms/app-api/v1/orders -> GET /mall-oms/api/v1/orders -> POST /mall-sms/api/v1/adverts -> GET /mall-sms/api/v1/adverts/{id},,,1
C050,gpt-4o-mini CADS,youlai-mall,PUT /mall-pms/app-api/v1/skus/deduct,POST /mall-ums/app-api/v1/members/view/history -> GET /mall-ums/api/v1/members -> POST /mall-ums/app-api/v1/members -> GET /mall-ums/api/v1/members -> POST /mall-oms/app-api/v1/orders/submit -> GET /mall-oms/app-api/v1/orders -> GET /mall-oms/api/v1/orders -> PUT /mall-pms/app-api/v1/skus/deduct,,,0
R001,RESTler,crapi,GET /community/api/v2/community/posts/{postId},POST /community/api/v2/community/posts -> GET /community/api/v2/community/posts/{postId},,,1
R002,RESTler,crapi,POST /community/api/v2/community/posts/{postId}/comment,POST /community/api/v2/community/posts -> POST /community/api/v2/community/posts/{postId}/comment,,,1
R003,RESTler,crapi,POST /identity/api/auth/v4.0/user/login-with-token,POST /identity/api/auth/v2.7/user/login-with-token -> POST /identity/api/auth/v4.0/user/login-with-token,,,0
R004,RESTler,crapi,DELETE /identity/api/v2/user/videos/{video_id},POST /identity/api/v2/user/videos -> DELETE /identity/api/v2/user/videos/{video_id},,,1
R005,RESTler,crapi,GET /identity/api/v2/user/videos/{video_id},POST /identity/api/v2/user/videos -> GET /identity/api/v2/user/videos/{video_id},,,1
R006,RESTler,crapi,PUT /identity/api/v2/user/videos/{video_id},POST /identity/api/v2/user/videos -> PUT /identity/api/v2/user/videos/{video_id},,,1
R007,RESTler,crapi,GET /workshop/api/shop/orders/{order_id},POST /workshop/api/shop/orders -> GET /workshop/api/shop/orders/{order_id},,,1
R008,RESTler,crapi,PUT /workshop/api/shop/orders/{order_id},POST /workshop/api/shop/orders -> PUT /workshop/api/shop/orders/{order_id},,,1
R009,RESTler,ctfd,DELETE /api/v1/challenges/{challenge_id},POST /api/v1/challenges -> DELETE /api/v1/challenges/{challenge_id},,,1
R010,RESTler,ctfd,GET /api/v1/challenges/{challenge_id}/files,POST /api/v1/challenges -> GET /api/v1/challenges/{challenge_id}/files,,,1
R011,RESTler,ctfd,GET /flags/{flag_id},POST /api/v1/flags -> GET /flags/{flag_id},,,1
R012,RESTler,ctfd,GET /api/v1/hints/{hint_id},POST /api/v1/hints -> GET /api/v1/hints/{hint_id},,,1
R013,RESTler,ctfd,DELETE /notifications/{notification_id},POST /api/v1/notifications -> DELETE /notifications/{notification_id},,,1
R014,RESTler,ctfd,PATCH /api/v1/teams/{team_id},POST /api/v1/teams -> PATCH /api/v1/teams/{team_id},,,1
R015,RESTler,ctfd,GET /api/v1/flags/{flag_id},POST /flags -> GET /api/v1/flags/{flag_id},,,1
R016,RESTler,ctfd,PATCH /api/v1/pages/{page_id},POST /pages -> PATCH /api/v1/pages/{page_id},,,1
R017,RESTler,ctfd,GET /solutions/{solution_id},POST /solutions -> GET /solutions/{solution_id},,,1
R018,RESTler,ctfd,GET /teams/{team_id},POST /teams -> GET /teams/{team_id},,,1
R019,RESTler,ctfd,DELETE /tokens/{token_id},POST /tokens -> DELETE /tokens/{token_id},,,1
R020,RESTler,easyappointments,GET /admins/{adminId},POST /admins -> GET /admins/{adminId},,,1
R021,RESTler,easyappointments,PUT /index.php/api/v1/admins/{adminId},POST /admins -> PUT /index.php/api/v1/admins/{adminId},,,1
R022,RESTler,easyappointments,PUT /index.php/api/v1/appointments/{appointmentId},POST /appointments -> PUT /index.php/api/v1/appointments/{appointmentId},,,1
R023,RESTler,easyappointments,GET /index.php/api/v1/admins/{adminId},POST /index.php/api/v1/admins -> GET /index.php/api/v1/admins/{adminId},,,1
R024,RESTler,easyappointments,GET /providers/{providerId},POST /index.php/api/v1/providers -> GET /providers/{providerId},,,1
R025,RESTler,easyappointments,GET /index.php/api/v1/services/{serviceId},POST /index.php/api/v1/services -> GET /index.php/api/v1/services/{serviceId},,,1
R026,RESTler,easyappointments,GET /index.php/api/v1/unavailabilities/{unavailabilityId},POST /index.php/api/v1/unavailabilities -> GET /index.php/api/v1/unavailabilities/{unavailabilityId},,,1
R027,RESTler,easyappointments,PUT /webhooks/{webhookId},POST /index.php/api/v1/webhooks -> PUT /webhooks/{webhookId},,,1
R028,RESTler,easyappointments,GET /services/{serviceId},POST /services -> GET /services/{serviceId},,,1
R029,RESTler,easyappointments,PUT /unavailabilities/{unavailabilityId},POST /unavailabilities -> PUT /unavailabilities/{unavailabilityId},,,1
R030,RESTler,gin-vue-admin,PUT /api/customer/customer,POST /api/customer/customer -> PUT /api/customer/customer,,,1
R031,RESTler,gin-vue-admin,PUT /customer/customer,POST /api/customer/customer -> PUT /customer/customer,,,1
R032,RESTler,gin-vue-admin,PUT /api/customer/customer,POST /customer/customer -> PUT /api/customer/customer,,,1
R033,RESTler,gin-vue-admin,PUT /customer/customer,POST /customer/customer -> PUT /customer/customer,,,1
R034,RESTler,gin-vue-admin,DELETE /api/customer/customer,PUT /api/customer/customer -> DELETE /api/customer/customer,,,0
R035,RESTler,gin-vue-admin,DELETE /customer/customer,PUT /api/customer/customer -> DELETE /customer/customer,,,0
R036,RESTler,gin-vue-admin,DELETE /api/customer/customer,PUT /customer/customer -> DELETE /api/customer/customer,,,0
R037,RESTler,gin-vue-admin,DELETE /customer/customer,PUT /customer/customer -> DELETE /customer/customer,,,0
R038,RESTler,openemr,DELETE /apis/default/api/patient/{pid}/message/{mid},POST /apis/default/api/patient -> DELETE /apis/default/api/patient/{pid}/message/{mid},,,1
R039,RESTler,openemr,GET /apis/default/api/patient/{pid}/encounter/{eid}/vital,POST /apis/default/api/patient -> GET /apis/default/api/patient/{pid}/encounter/{eid}/vital,,,0
R040,RESTler,openemr,GET /apis/default/api/patient/{pid}/encounter/{eid}/vital/{vid},POST /apis/default/api/patient -> GET /apis/default/api/patient/{pid}/encounter/{eid}/vital/{vid},,,0
R041,RESTler,openemr,GET /apis/default/api/patient/{pid}/medication/{mid},POST /apis/default/api/patient -> GET /apis/default/api/patient/{pid}/medication/{mid},,,0
R042,RESTler,openemr,GET /apis/default/api/patient/{pid}/transaction,POST /apis/default/api/patient -> GET /apis/default/api/patient/{pid}/transaction,,,0
R043,RESTler,openemr,POST /apis/default/api/patient/{pid}/document,POST /apis/default/api/patient -> POST /apis/default/api/patient/{pid}/document,,,0
R044,RESTler,openemr,PUT /apis/default/api/patient/{pid}/surgery/{sid},POST /apis/default/api/patient -> PUT /apis/default/api/patient/{pid}/surgery/{sid},,,0
R045,RESTler,openemr,GET /apis/default/api/patient/{puuid},PUT /apis/default/api/patient/{puuid} -> GET /apis/default/api/patient/{puuid},,,0
R046,RESTler,openemr,POST /apis/default/api/patient/{puuid}/encounter,PUT /apis/default/api/patient/{puuid} -> POST /apis/default/api/patient/{puuid}/encounter,,,0
R047,RESTler,openemr,PUT /apis/default/api/patient/{puuid}/medical_problem/{muuid},PUT /apis/default/api/patient/{puuid} -> PUT /apis/default/api/patient/{puuid}/medical_problem/{muuid},,,0
R048,RESTler,pybbs,GET /api/comment/{id}/vote,POST /api/comment -> GET /api/comment/{id}/vote,,,1
R049,RESTler,pybbs,GET /api/topic/{id},PUT /api/topic -> GET /api/topic/{id},,,0
R050,RESTler,pybbs,GET /api/topic/{id}/vote,PUT /api/topic -> GET /api/topic/{id}/vote,,,0
